school_id,center_id,name,area,phone,curriculum,grade_range,overall_rating,wellbeing_rating,inclusion_rating
5467,14450,Ranches Primary School,Arabian Ranches,97144429765,UK (13 Y),FS 1 - YEAR 6,Very good,Very good,Very good
4450,14567,Swiss International Scientific School FZ-LLC,Dubai Healthcare City,97143750600,International Baccalaureate,Pre primary - GRADE 12,Very good,Very good,Outstanding
5488,14568,GEMS Founders School - Dubai Branch,AL BARSHA SECOND,97145195222,UK (13 Y),FS 1 - YEAR 13,Very good,Very good,Very good
4448,14633,Hartland International School - FZ,Meydan City,97144079444,"International Baccalaureate,UK (13 Y),UK/IB (13 Y)","FS 1 - YEAR 13,GRADE 12 - GRADE 13",Very good,Very good,Very good
218,14719,Jebel Ali School (Br of Taaleem Management (L L C)),JABAL ALI FIRST,97148846485,UK (13 Y),FS 1 - YEAR 13,Very good,Very good,Outstanding
5471,151820,Arcadia British School,Jumeirah Village Circle (South),97145522600,UK (13 Y),FS 1 - YEAR 13,Very good,Very good,Very good
5514,152035,Brighton College Dubai L.L.C,AL BARSHA SECOND,97143871111,UK (13 Y),FS 1 - YEAR 13,Very good,Very good,Very good
5475,152056,Sunmarke School FZE,Al Khail,,"IB (13 Y),UK (13 Y)","FS 1 - YEAR 13,YEAR 12 - YEAR 13",Very good,Very good,Very good
5476,152102,Kent College L.L.C - FZ,NADD AL SHIBA SECOND,971508891,UK (13 Y),FS 1 - YEAR 13,Very good,Outstanding,Very good
5497,152197,Dubai Heights Academy,AL BARSHA SECOND,043563333,"IB (13 Y),UK (13 Y),UK/IB (13 Y)","FS 1 - YEAR 12,FS 1 - YEAR 4",Very good,Good,Very good
5492,152343,Lycee Francais Jean Mermoz L.L.C,AL QOUZ FIRST,043344111,French,Pre primary - GRADE 12,Very good,Very good,Very good
5496,152520,North London Collegiate School Middle East L.L.C - FZ,Meydan City,97143190888,International Baccalaureate,Pre primary - GRADE 12,Very good,Very good,Very good
5518,500005,Dubai International Academy Albarsha,AL BARSHA FIRST,,International Baccalaureate,ECC (0-1) - GRADE 12,Very good,Very good,Very good
5542,500628,Royal Grammar School Guildford L.L.C,Dubai Sports City,97144464377,UK (13 Y),FS 1 - YEAR 10,Very good,Very good,Very good
5557,502308,Lycee Libanais Francophone Prive Meydan L.L.C - FZ,Meydan City,97145607800,French,Pre primary - GRADE 12,Good,Good,Good
252,3,Al Shurooq Private School,JUMEIRA FIRST,043442026,Ministry of Education,KG 1 - GRADE 12,Good,Good,Good
250,10,Al Rashid Al Saleh Private School,OUD METHA,97143376126,Ministry of Education,KG 1 - GRADE 12,Good,Good,Good
341,15,Al Basateen Private Nursery,AL KHWANEEJ FIRST,97142892261,Ministry of Education,KG 1 - KG 2,Good,Good,Good
249,17,Sheikh Rashid Bin Saeed Islamic Institute,AL ROWAIYAH FIRST,97143688532,Ministry of Education,GRADE 5 - GRADE 12,Good,Good,Good
198,19,Al Mawakeb School Al Garhoud L.L.C,AL GARHOUD,97142851415,American,Pre primary - GRADE 12,Good,Good,Good
207,20,Al Mawakeb School Al Barsha L.L.C,AL BARSHA SECOND,97143478288,American,KG 1 - GRADE 12,Good,Good,Good
297,21,Al Ittihad Private School,AL MAMZAR,042966314,American,Pre primary - GRADE 12,Good,Very good,Very good
301,22,Al Ittihad Private School (Br),AL SAFA FIRST,043945111,American,Pre primary - GRADE 12,Good,Good,Good
257,24,Mirdif American School,AL MIZHAR FIRST,97142883303,American,Pre primary - GRADE 10,Good,Good,Good
232,26,Dubai International Private School - Br,AL QOUZ FIRST,97143385530,American,KG 1 - GRADE 12,Good,Good,Acceptable
298,27,Dubai National School AlTwar L.L.C,AL TWAR FIRST,97142988555,American,ECC (0-1) - GRADE 12,Good,Good,Good
258,28,Dubai National School L.L.C,AL BARSHA FIRST,97143474555,American,Pre primary - GRADE 12,Good,Very good,Very good
268,29,GEMS Al Khaleej International School - Dubai Branch,AL WARQA FOURTH,97142173900,"American,International Baccalaureate","Pre primary - GRADE 12,GRADE 11 - GRADE 12",Good,Good,Good
259,31,New Academy School,AL RAFFA,97143988873,American,KG 1 - GRADE 12,Good,Good,Good
315,32,American International School,AL QUSAIS FIRST,+97142540509,American,KG 1 - GRADE 12,Good,Very good,Very good
201,34,American School Dubai,AL BARSHA SECOND,97143950005,American,Pre primary - GRADE 12,Good,Good,Good
247,37,Himayah Kindergarten For Education- Karama,AL KARAMA,97145070444,Ministry of Education,KG 1 - KG 2,Good,Very good,Very good
317,42,The School of Research Science L.L.C,AL WARQA FOURTH,97146011011,"UK (13 Y),UK*","FS 1 - YEAR 13,GRADE 10 - GRADE 12",Good,Good,Good
277,43,Al Salam Private School,AL NAHDA SECOND,97142679594,UK (13 Y),FS 1 - YEAR 11,Good,Good,Good
190,46,Oxford School,MUHAISANAH FOURTH,042543666,UK (13 Y),FS 1 - YEAR 13,Good,Good,Good
275,47,ST. Mary Catholic High School - Dubai,UMM HURAIR FIRST,043370252,UK (13 Y),YEAR 1 - YEAR 13,Good,Very good,Very good
191,48,Cambridge International School,AL TWAR FIRST,97142824646,UK (13 Y),FS 1 - YEAR 13,Good,Acceptable,Good
299,49,The City School International Private,NADD AL HAMAR,97142899722,UK (13 Y),FS 1 - YEAR 13,Good,Very good,Good
203,52,Apple International School,AL QUSAIS FIRST,042279227,UK (13 Y),FS 1 - YEAR 13,Good,Good,Good
193,57,M S B Private School,AL NAHDA SECOND,97142677100,UK (13 Y),FS 1 - YEAR 13,Good,Good,Good
219,59,Al Diyafah High School L.L.C,AL NAHDA SECOND,97142671115,UK (13 Y),FS 1 - YEAR 13,Good,Very good,Very good
212,61,Pristine Private School,AL NAHDA SECOND,97142674299,UK (13 Y),FS 1 - YEAR 13,Good,Good,Good
222,65,Dubai Gem Private School,OUD METHA,97143376661,UK (13 Y),FS 1 - YEAR 13,Good,Very good,Good
307,66,Dubai Scholars Private School,AL QUSAIS FIRST,97147069000,UK (13 Y),ECC (2-3) - YEAR 13,Good,Good,Good
199,67,The Westminster School - DUBAI BRANCH,AL QUSAIS FIRST,97142988333,UK (13 Y),FS 1 - YEAR 13,Good,Very good,Good
282,73,The Sheffield Private School L.L.C,AL NAHDA SECOND,97142678444,UK (13 Y),FS 1 - YEAR 13,Good,Good,Good
295,74,Gulf Indian High School,AL GARHOUD,97146119400,Indian,KG 1 - GRADE 12,Good,Good,Good
325,82,The Indian High School-Branch,AL GARHOUD,97142823555,Indian,Pre primary - GRADE 4,Good,Good,Good
228,83,GEMS Legacy School - Dubai Branch,AL GARHOUD,97142824090,Indian,KG 1 - GRADE 11,Good,Good,Good
242,86,New Indian Model School,AL GARHOUD,97142824313,Indian,KG 1 - GRADE 12,Good,Good,Acceptable
342,104,Japanese School,AL WASL,97143449119,Japanese,Pre primary - GRADE 9,Good,Good,Good
336,118,Star International School,AL QUSAIS FIRST,97142638999,UK (13 Y),FS 1 - YEAR 13,Good,Very good,Good
236,119,Our Own High School - Dubai Branch,AL WARQA FIRST,97142800077,Indian,KG 1 - GRADE 12,Good,Good,Good
343,126,Al Nibras International Private School,DUBAI INVESTMENT PARK FIRST,97148853330,American,KG 1 - GRADE 12,Good,Good,Good
196,130,American Academy for Girls,AL MIZHAR FIRST,97142887250,American,Pre primary - GRADE 12,Good,Good,Good
261,135,Philadelphia Private School,MUHAISNAH FIRST,97142646202,"American,International Baccalaureate","Pre primary - GRADE 12,GRADE 11 - GRADE 12",Good,Good,Good
215,136,Sharjah American International Private School - Dubai Branch,AL WARQA FIRST,97142801111,American,KG 1 - GRADE 12,Good,Good,Good
321,139,Greenwood International School,MUHAISNAH FIRST,97142888000,American,KG 1 - GRADE 12,Good,Good,Good
4400,143,Russian International School,MUHAISANAH FOURTH,97142641515,Russian,KG 1 - GRADE 11,Good,Very good,Good
361,144,Primus Private School L.L.C,AL WARQA FIRST,042800691,Indian,Pre primary - GRADE 12,Good,Good,Good
4279,266,Dar Al Marefa Private School,AL KHWANEEJ FIRST,97142885782,International Baccalaureate,Pre primary - GRADE 12,Good,Good,Good
4282,346,Star International School (Branch),MIRDIF,97142884644,UK (13 Y),FS 1 - YEAR 13,Good,Good,Good
4404,643,Collegiate International School,UMM SUQEIM THIRD,97144271400,"American,International Baccalaureate","GRADE 9 - GRADE 12,Pre primary - GRADE 12",Good,Good,Good
4414,655,The Indian International School (Dso Branch),Dubai Silicon Oasis,97143423909,Indian,Pre primary - GRADE 12,Good,Good,Good
4405,688,GEMS Winchester School,Dubai Land,97145952555,UK (13 Y),FS 1 - YEAR 13,Good,Very good,Very good
4413,811,The Indian Academy,MUHAISANAH FOURTH,042646746,Indian,Pre primary - GRADE 12,Good,Good,Good
4424,1235,Sabari Indian School L.L.C,Deira,042505806,Indian,Pre primary - GRADE 12,Good,Very good,Very good
4425,1247,Springdales School L.L.C,AL QOUZ FOURTH,97143381311,"Indian,UK (13 Y)",Pre primary - GRADE 12,Good,Very good,Good
4433,1477,GEMS International School Al Khail L.L.C,Al Khail,97143396200,International Baccalaureate,Pre primary - GRADE 12,Good,Good,Good
5474,1833,Next Generation School L.L.C,AL BARSHA FIRST,045817700,American,Pre primary - GRADE 12,Good,Good,Good
5479,1838,Smart Vision School,AL BARSHA SECOND,042880965,UK (13 Y),ECC (2-3) - YEAR 7,Good,Very good,Good
5483,1851,International School of Creative Science Nad Alshiba L.L.C,NADD AL SHIBA THIRD,045107000,UK (13 Y),FS 1 - YEAR 13,Good,Good,Very good
4445,2149,Capital School L.L.C,AL QUSAIS FIRST,97142988776,UK (13 Y),FS 1 - YEAR 13,Good,Good,Good
4444,2248,Dove Green Private School L.L.C,DUBAI INVESTMENT PARK FIRST,97148837474,UK (13 Y),FS 1 - YEAR 11,Good,Very good,Very good
4442,2256,GEMS Metropole School - Dubai Branch,Motor City,97145507200,UK (13 Y),FS 1 - YEAR 13,Good,Good,Acceptable
5468,14739,ST MARY HIGH SCHOOL MUHAISNAH L.L.C,MUHAISANAH FOURTH,97142614014,UK (13 Y),FS 1 - YEAR 13,Good,Good,Good
5490,15002,DEWA Academy,AL HUDAIBA,97143220113,Ministry of Education \ BTEC,GRADE 9 - GRADE 12,Good,Good,Good
5484,15083,Clarion School L.L.C,AL QOUZ FIRST,97144073000,American,ECC (1-2) - GRADE 8,Good,Very good,Very good
5482,15159,American School of Creative Science L.L.C,NADD AL SHIBA SECOND,97145107000,American,Pre primary - GRADE 12,Good,Very good,Very good
5511,151816,GEMS Founders School Mizhar,AL MIZHAR FIRST,04 210 3555,UK (13 Y),FS 1 - YEAR 13,Good,Very good,Very good
5493,151915,The Arbor School L.L.C,Al Furjan,97145814100,UK (13 Y),FS 1 - YEAR 13,Good,Good,Good
5516,151988,Al Mawakeb School Al Khawaneej L.L.C,AL MIZHAR FIRST,97142514433,American,Pre primary - GRADE 12,Good,Good,Very good
5513,152031,Dwight School L.L.C,Dubai Sports City,800394448,International Baccalaureate,Pre primary - GRADE 12,Good,Good,Good
5537,152213,Pearl Wisdom School L.L.C,HOR AL ANZ,97148843884,Indian,KG 1 - GRADE 12,Good,Good,Good
5504,152311,Dunecrest American School L.L.C,Al Barari,,American,Pre primary - GRADE 12,Good,Very good,Very good
5505,152361,Fairgreen International School L.L.C,Dubai Land,97148754999,International Baccalaureate,Pre primary - GRADE 12,Good,Good,Good
5500,152441,Newlands School,AL WARQA FIRST,97142821200,UK (13 Y),FS 1 - YEAR 13,Good,Good,Good
5489,152457,Amity School L.L.C,AL QUSAIS FIRST,042041000,Indian,Pre primary - GRADE 12,Good,Very good,Good
5506,152519,South View School L.L.C,Dubai Land,97145897904.,UK (13 Y),FS 1 - YEAR 13,Good,Good,Good
5495,152540,Global Indian International School L.L.C,AL QOUZ FIRST,,Indian,Pre primary - GRADE 12,Good,Very good,Very good
5509,152599,The Aquila School,Dubai Land,97145862700,"IB (13 Y),UK (13 Y)","FS 1 - YEAR 13,FS 1 - YEAR 13",Good,Good,Acceptable
5508,152711,Bright Riders School,DUBAI INVESTMENT PARK FIRST,048237444,Indian,Pre primary - GRADE 11,Good,Good,Good
5524,152894,Al Salam Community School L.L.C,AL TWAR SECOND,97142215554,UK (13 Y),FS 1 - YEAR 13,Good,Good,Good
5526,500721,Ambassador International Academy L.L.C,AL QOUZ SECOND,045806999,"International Baccalaureate,UK*,UK/IB (12 Y)","ECC (2-3) - GRADE 11,GRADE 9 - GRADE 9",Good,Good,Good
5549,501095,Australian International School - Dubai L.L.C,AL BARSHA SECOND,971505550818,Australian,ECC (0-1) - GRADE 10,Good,Good,Acceptable
5541,501256,Chinese School Dubai,MIRDIF,97142202275,Chinese,GRADE 1 - GRADE 9,Acceptable,Acceptable,Acceptable
210,2,The National Charity School for Girls (Br of The National Charity School for Boys L.L.C),AL GARHOUD,97142821942,Ministry of Education,GRADE 1 - GRADE 12,Acceptable,Acceptable,Acceptable
234,5,Al Eman Educational EST,AL RASHIDIYA,97142858589,Ministry of Education,KG 1 - GRADE 12,Acceptable,Acceptable,Acceptable
185,12,Al Arqm Private School,AL BARSHA FIRST,97143400888,Ministry of Education,Pre primary - GRADE 12,Acceptable,Good,Acceptable
248,16,Islamic School for Training & Education,MUHAISNAH FIRST,97142646001,Ministry of Education,KG 1 - GRADE 12,Acceptable,Good,Good
313,18,Dubai Modern Education School,AL MIZHAR FIRST,042885115,"American,Ministry of Education","KG 1 - GRADE 12,KG 1 - GRADE 12",Acceptable,Acceptable,Acceptable
267,23,Al Maaref American School L.L.C,AL QUSAIS FIRST,042988881,American,Pre primary - GRADE 12,Acceptable,Acceptable,Acceptable
216,25,Dubai International Private School,AL GARHOUD,042823524,American,KG 1 - GRADE 12,Acceptable,Very good,Acceptable
322,35,United International Private School L.L.C,MUHAISNAH FIRST,042543888,Philippine,KG 1 - GRADE 12,Acceptable,Acceptable,Acceptable
326,39,Dubai Carmel School,AL QUSAIS FIRST,97142675424,UK (13 Y),FS 1 - YEAR 13,Acceptable,Acceptable,Acceptable
188,40,Queen International School,Deira,97142652600,"UK (13 Y),UK*",FS 1 - YEAR 13,Acceptable,Acceptable,Good
214,44,Arab Unity School L.L.C,AL MIZHAR FIRST,97142886226,UK (13 Y),FS 2 - YEAR 13,Acceptable,Good,Good
223,53,English Language Private School,UMM HURAIR FIRST,043377503,UK (13 Y),FS 2 - YEAR 13,Acceptable,Acceptable,Acceptable
279,60,Grammar School,AL GARHOUD,97142824822,UK (13 Y),FS 2 - YEAR 13,Acceptable,Good,Good
283,68,Al Sadiq Islamic English School,AL QUSAIS FIRST,97142634083,UK (13 Y),FS 2 - YEAR 11,Acceptable,Good,Acceptable
244,76,ELITE ENGLISH SCHOOL L.L.C,Deira,97142688244,Indian,Pre primary - GRADE 12,Acceptable,Good,Acceptable
323,80,Crescent English School,AL QUSAIS FIRST,97142988866,Indian,KG 1 - GRADE 12,Acceptable,Good,Acceptable
246,84,The Central School,AL NAHDA SECOND,042674433,Indian,KG 1 - GRADE 12,Acceptable,Acceptable,Acceptable
220,85,The International School of Choueifat,AL SAFOUH FIRST,97143999444,SABIS (UK/US),Pre primary - GRADE 12,Acceptable,Acceptable,Acceptable
241,87,Buds Public School,MUHAISNAH FIRST,042888143,Indian,Pre primary - GRADE 12,Acceptable,Good,Acceptable
328,93,Little Flower English School,HOR AL ANZ,,Indian,KG 1 - GRADE 6,Acceptable,Acceptable,Acceptable
344,94,Gulf Model School,MUHAISNAH FIRST,042544222,Indian,KG 1 - GRADE 12,Acceptable,Good,Acceptable
292,100,Pakistan Education Academy,UMM HURAIR FIRST,97143370126,Pakistani,KG 1 - GRADE 12,Acceptable,Acceptable,Acceptable
293,101,H.H.Shaikh Rashid Al Maktoum Pakistani School,AL QUSAIS FIRST,97142988303,Pakistani,KG 1 - GRADE 12,Acceptable,Weak,Acceptable
353,127,North American International School L.L.C,AL MIZHAR FIRST,97142884844,American,KG 1 - GRADE 12,Acceptable,Good,Good
211,140,SCHOOL OF MODERN SKILLS,MUHAISNAH FIRST,042887765,American,KG 1 - GRADE 12,Acceptable,Acceptable,Acceptable
306,141,International Academic School,AL WARQA FIRST,042800993,American,Pre primary - GRADE 12,Acceptable,Acceptable,Acceptable
4296,265,The Philippine School,MUHAISANAH SECOND,97142844465,Philippine,KG 1 - GRADE 12,Acceptable,Good,Good
4297,339,Deira Private School,AL TWAR FIRST,042641595,UK (13 Y),FS 1 - YEAR 9,Acceptable,Acceptable,Acceptable
4419,872,The International School of Choueifat (Branch),DUBAI INVESTMENT PARK FIRST,048847884,SABIS (UK/US),Pre primary - GRADE 12,Acceptable,Acceptable,Weak
4447,1687,Woodlem Park School L.L.C,AL QUSAIS FIRST,042040900,Indian,Pre primary - GRADE 12,Acceptable,Acceptable,Acceptable
5539,151831,Vernus International Primary School - FZCO,Dubai Silicon Oasis,97143208000,American,Pre primary - GRADE 5,Acceptable,Acceptable,Acceptable
5477,151864,Oak Tree Primary School,AL QOUZ FOURTH,97143333911,UK (13 Y),FS 1 - YEAR 6,Acceptable,Good,Acceptable
5501,152733,GEMS Albarsha National School - Dubai Branch,Al barsha South Second,97145069222,UK (13 Y),FS 1 - YEAR 13,Acceptable,Good,Good
5507,152884,Ignite School L.L.C,AL WARQA THIRD,042110771,American,Pre primary - GRADE 12,Acceptable,Weak,Acceptable
5520,500447,Renaissance School L.L.C,Dubai Sports City,97145897717,American,ECC (2-3) - GRADE 8,Acceptable,Good,Acceptable
5523,500572,Himayah School For Education Girls - Al Karama,AL KARAMA,97143482255,Ministry of Education,KG 1 - GRADE 12,Acceptable,Acceptable,Acceptable
5522,500573,Himayah School For Education Boys - Diera (Abu Hail),ABU HAIL,97143482255,Ministry of Education,GRADE 1 - GRADE 12,Acceptable,Good,Good
5540,500607,Bright Learners Private School L.L.C,AL RASHIDIYA,97143353203,American,Pre primary - GRADE 8,Acceptable,Acceptable,Acceptable
5527,500819,Al Ghaf Private School L.L.C,JABAL ALI FIRST,97148522295,UK (13 Y),FS 1 - YEAR 8,Acceptable,Acceptable,Acceptable
5538,501052,Cedar School L.L.C,AL WARQA FIRST,043803902,UK (13 Y),FS 1 - YEAR 9,Acceptable,Good,Acceptable
5536,501460,The School of Research Science US High School L.L.C,AL WARQA FOURTH,97146011011,American,GRADE 9 - GRADE 12,Acceptable,Good,Acceptable
5556,501709,The Apple International Community School,AL KARAMA,97143797732,UK (13 Y),FS 1 - YEAR 10,Acceptable,Acceptable,Acceptable
